timestamp,phase,gpu,power_w,sm_util_pct,mem_util_pct,mem_used_mib,mem_total_mib,temp_c,pcie_tx_kib,pcie_rx_kib,clock_sm_mhz,clock_mem_mhz
1774914450.262,steady,7,88.4,4,2,17557,81920,36,1400,6550,1155,1593
1774914451.263,steady,0,86.0,5,3,16793,81920,32,1400,5450,1155,1593
1774914451.263,steady,1,89.9,5,2,16793,81920,32,1250,6650,1155,1593
1774914451.263,steady,2,88.6,4,2,18797,81920,31,1250,6250,1155,1593
1774914451.263,steady,3,88.3,5,3,18797,81920,31,1500,5600,1155,1593
1774914451.263,steady,4,89.0,4,2,16793,81920,36,1350,6500,1155,1593
1774914451.263,steady,5,86.0,5,2,16793,81920,36,1550,7200,1155,1593
1774914451.263,steady,6,91.4,4,2,17661,81920,35,1450,7050,1155,1593
1774914451.263,steady,7,87.5,4,2,17557,81920,36,1500,5950,1155,1593
1774914452.263,steady,0,85.2,4,2,16793,81920,32,1350,6200,1155,1593
1774914452.263,steady,1,87.8,4,2,16793,81920,32,1150,6300,1155,1593
1774914452.263,steady,2,87.4,5,3,18797,81920,31,1250,6450,1155,1593
1774914452.263,steady,3,87.1,4,2,18797,81920,31,1500,6750,1155,1593
1774914452.263,steady,4,88.1,5,3,16793,81920,36,1300,5800,1155,1593
1774914452.263,steady,5,85.4,5,3,16793,81920,36,1650,7150,1155,1593
1774914452.263,steady,6,90.1,5,2,17661,81920,35,1400,6200,1155,1593
1774914452.263,steady,7,86.0,4,2,17557,81920,36,1500,6150,1155,1593
1774914453.263,steady,0,88.2,4,2,16793,81920,32,1400,5850,1155,1593
1774914453.263,steady,1,87.5,5,3,16793,81920,32,1300,6150,1155,1593
1774914453.263,steady,2,88.3,5,3,18797,81920,31,1400,6100,1155,1593
1774914453.263,steady,3,88.0,5,3,18797,81920,31,1400,5800,1155,1593
1774914453.263,steady,4,90.5,4,2,16793,81920,36,1450,5450,1155,1593
1774914453.263,steady,5,85.4,5,3,16793,81920,36,1500,7550,1155,1593
1774914453.263,steady,6,90.7,5,3,17661,81920,35,1550,6050,1155,1593
1774914453.263,steady,7,88.1,4,2,17557,81920,36,1350,6750,1155,1593
1774914454.263,steady,0,87.0,4,2,16793,81920,32,1450,5850,1155,1593
1774914454.263,steady,1,87.8,4,2,16793,81920,32,1200,6050,1155,1593
1774914454.263,steady,2,87.4,5,2,18797,81920,31,1600,7400,1155,1593
1774914454.263,steady,3,88.0,5,3,18797,81920,31,1550,5350,1155,1593
1774914454.263,steady,4,90.4,5,3,16793,81920,36,1250,7050,1155,1593
1774914454.263,steady,5,85.7,4,2,16793,81920,36,1450,6800,1155,1593
1774914454.263,steady,6,91.4,5,2,17661,81920,35,1450,7300,1155,1593
1774914454.263,steady,7,88.7,5,2,17557,81920,36,1500,5950,1155,1593
1774914455.264,steady,0,87.0,5,2,16793,81920,32,1350,6500,1155,1593
1774914455.264,steady,1,90.5,4,2,16793,81920,32,1200,5850,1155,1593
1774914455.264,steady,2,87.4,5,3,18797,81920,31,1500,6900,1155,1593
1774914455.264,steady,3,87.4,4,2,18797,81920,31,1350,6400,1155,1593
1774914455.264,steady,4,88.4,4,2,16793,81920,37,1350,6350,1155,1593
1774914455.264,steady,5,87.2,5,3,16793,81920,36,1450,5850,1155,1593
1774914455.264,steady,6,91.6,4,2,17661,81920,35,1300,6600,1155,1593
1774914455.264,steady,7,86.6,4,2,17557,81920,36,1300,6400,1155,1593
1774914456.264,steady,0,87.0,5,3,16793,81920,32,1400,6250,1155,1593
1774914456.264,steady,1,87.8,4,2,16793,81920,32,1200,7150,1155,1593
1774914456.264,steady,2,89.2,5,2,18797,81920,31,1450,6350,1155,1593
1774914456.264,steady,3,85.9,5,3,18797,81920,31,1450,6350,1155,1593
1774914456.264,steady,4,90.8,4,2,16793,81920,37,1550,6300,1155,1593
1774914456.264,steady,5,94.2,4,2,16793,81920,36,1450,6200,1155,1593
1774914456.264,steady,6,89.2,5,2,17661,81920,35,1550,5900,1155,1593
1774914456.264,steady,7,86.3,5,3,17557,81920,36,1450,5650,1155,1593
1774914457.264,steady,0,86.0,4,2,16793,81920,32,1700,6100,1155,1593
1774914457.264,steady,1,89.3,4,2,16793,81920,32,1250,6600,1155,1593
1774914457.264,steady,2,89.5,5,2,18797,81920,31,1400,5700,1155,1593
1774914457.264,steady,3,88.6,5,2,18797,81920,31,1400,6000,1155,1593
1774914457.264,steady,4,88.7,5,3,16793,81920,37,1300,6500,1155,1593
1774914457.264,steady,5,86.0,4,2,16793,81920,36,1550,7000,1155,1593
1774914457.264,steady,6,89.8,4,2,17661,81920,36,1550,5600,1155,1593
1774914457.264,steady,7,87.5,4,2,17557,81920,36,1250,6550,1155,1593
1774914458.264,steady,0,85.4,5,2,16793,81920,32,1400,5300,1155,1593
1774914458.264,steady,1,89.0,5,3,16793,81920,32,1200,6900,1155,1593
1774914458.264,steady,2,88.6,5,3,18797,81920,31,1500,7800,1155,1593
1774914458.264,steady,3,86.2,5,3,18797,81920,31,1600,6950,1155,1593
1774914458.264,steady,4,88.4,5,2,16793,81920,37,1350,6450,1155,1593
1774914458.264,steady,5,84.8,4,2,16793,81920,36,1400,6950,1155,1593
1774914458.264,steady,6,90.1,5,2,17661,81920,36,1550,6200,1155,1593
1774914458.264,steady,7,85.7,4,2,17557,81920,36,1400,6050,1155,1593
1774914459.264,steady,0,87.0,5,3,16793,81920,32,1400,6200,1155,1593
1774914459.264,steady,1,87.2,4,2,16793,81920,32,1200,6250,1155,1593
1774914459.264,steady,2,88.3,5,2,18797,81920,31,1550,6300,1155,1593
1774914459.264,steady,3,88.3,5,3,18797,81920,31,1350,6550,1155,1593
1774914459.264,steady,4,87.2,5,3,16793,81920,37,1500,6350,1155,1593
1774914459.264,steady,5,86.9,5,3,16793,81920,36,1450,6800,1155,1593
1774914459.264,steady,6,92.0,4,2,17661,81920,36,1600,7000,1155,1593
1774914459.264,steady,7,85.1,5,2,17557,81920,36,1250,6800,1155,1593
1774914460.264,steady,0,85.8,5,3,16793,81920,32,1500,6850,1155,1593
1774914460.264,steady,1,87.5,4,2,16793,81920,32,1200,6850,1155,1593
1774914460.264,steady,2,87.7,5,2,18797,81920,31,1600,6150,1155,1593
1774914460.264,steady,3,87.1,5,2,18797,81920,31,1400,7300,1155,1593
1774914460.264,steady,4,89.9,5,3,16793,81920,37,1450,6400,1155,1593
1774914460.264,steady,5,86.3,5,3,16793,81920,36,1450,6450,1155,1593
1774914460.264,steady,6,92.0,5,3,17661,81920,36,1600,6550,1155,1593
1774914460.264,steady,7,85.4,5,2,17557,81920,36,1400,7750,1155,1593
1774914461.264,steady,0,87.6,5,3,16793,81920,32,1400,6100,1155,1593
1774914461.264,steady,1,88.4,5,3,16793,81920,32,1300,6200,1155,1593
1774914461.264,steady,2,88.3,5,3,18797,81920,31,1450,6800,1155,1593
1774914461.264,steady,3,88.0,5,3,18797,81920,31,1450,6700,1155,1593
1774914461.264,steady,4,89.9,5,2,16793,81920,37,1300,6650,1155,1593
1774914461.264,steady,5,86.9,5,2,16793,81920,36,1350,6650,1155,1593
1774914461.264,steady,6,91.6,4,2,17661,81920,36,1350,6850,1155,1593
1774914461.264,steady,7,87.5,5,3,17557,81920,36,1250,5900,1155,1593
1774914462.264,steady,0,86.6,4,2,16793,81920,32,1300,6600,1155,1593
1774914462.264,steady,1,87.8,5,2,16793,81920,32,1100,6500,1155,1593
1774914462.264,steady,2,88.3,5,3,18797,81920,31,1500,6650,1155,1593
1774914462.264,steady,3,88.0,5,3,18797,81920,31,1400,6950,1155,1593
1774914462.264,steady,4,88.1,5,2,16793,81920,37,1500,6250,1155,1593
1774914462.264,steady,5,85.7,4,2,16793,81920,36,1200,7000,1155,1593
1774914462.264,steady,6,91.0,4,2,17661,81920,36,1450,6350,1155,1593
1774914462.264,steady,7,86.3,4,2,17557,81920,36,1450,5750,1155,1593
1774914463.264,steady,0,85.4,5,3,16793,81920,32,1250,5600,1155,1593
1774914463.264,steady,1,89.9,5,3,16793,81920,32,1150,6050,1155,1593
1774914463.264,steady,2,87.7,5,3,18797,81920,31,1550,5350,1155,1593
1774914463.264,steady,3,88.9,4,2,18797,81920,31,1250,6500,1155,1593
1774914463.264,steady,4,91.1,4,2,16793,81920,37,1450,6850,1155,1593
1774914463.264,steady,5,85.1,5,2,16793,81920,36,1300,6250,1155,1593
1774914463.264,steady,6,89.8,5,3,17661,81920,36,1350,7050,1155,1593
1774914463.264,steady,7,86.6,4,2,17557,81920,36,1500,6650,1155,1593
1774914464.265,steady,0,87.3,4,2,16793,81920,32,1350,6900,1155,1593
1774914464.265,steady,1,89.3,5,3,16793,81920,32,1250,6350,1155,1593
1774914464.265,steady,2,88.6,5,3,18797,81920,31,1450,5750,1155,1593
1774914464.265,steady,3,93.8,5,3,18797,81920,31,1650,6500,1155,1593
